State_Alpha,fips2010,cbsasub,median2022,Metro_Area_Name,county_town_name,l50_1,l50_2,l50_3,l50_4,l50_5,l50_6,l50_7,l50_8,ELI_1,ELI_2,ELI_3,ELI_4,ELI_5,ELI_6,ELI_7,ELI_8,l80_1,l80_2,l80_3,l80_4,l80_5,l80_6,l80_7,l80_8,state,county,County_Name,state_name,metro
AL,0103799999,NCNTY01037N01037,54100,"Coosa County, AL",Coosa County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,037,Coosa County,Alabama,0
AL,0103999999,NCNTY01039N01039,60100,"Covington County, AL",Covington County,22150,25300,28450,31600,34150,36700,39200,41750,13590,18310,23030,27750,32470,36700,39200,41750,35400,40450,45500,50550,54600,58650,62700,66750,01,039,Covington County,Alabama,0
AL,0104199999,NCNTY01041N01041,64200,"Crenshaw County, AL",Crenshaw County,22500,25700,28900,32100,34700,37250,39850,42400,13590,18310,23030,27750,32470,37190,39850,42400,35950,41100,46250,51350,55500,59600,63700,67800,01,041,Crenshaw County,Alabama,0
AL,0104399999,NCNTY01043N01043,67700,"Cullman County, AL",Cullman County,22450,25650,28850,32050,34650,37200,39750,42350,13590,18310,23030,27750,32470,37190,39750,42350,35950,41050,46200,51300,55450,59550,63650,67750,01,043,Cullman County,Alabama,0
AL,0104599999,NCNTY01045N01045,63800,"Dale County, AL",Dale County,22350,25550,28750,31900,34500,37050,39600,42150,13590,18310,23030,27750,32470,37050,39600,42150,35750,40850,45950,51050,55150,59250,63350,67400,01,045,Dale County,Alabama,0
AL,0104799999,NCNTY01047N01047,50400,"Dallas County, AL",Dallas County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,047,Dallas County,Alabama,0
AL,0104999999,NCNTY01049N01049,61000,"DeKalb County, AL",DeKalb County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,049,DeKalb County,Alabama,0
AL,0105199999,METRO33860M33860,75500,"Montgomery, AL MSA",Elmore County,26450,30200,34000,37750,40800,43800,46850,49850,15900,18310,23030,27750,32470,37190,41910,46630,42300,48350,54400,60400,65250,70100,74900,79750,01,051,Elmore County,Alabama,1
AL,0105399999,NCNTY01053N01053,54400,"Escambia County, AL",Escambia County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,053,Escambia County,Alabama,0
AL,0105599999,METRO23460M23460,59700,"Gadsden, AL MSA",Etowah County,22150,25300,28450,31600,34150,36700,39200,41750,13590,18310,23030,27750,32470,36700,39200,41750,35400,40450,45500,50550,54600,58650,62700,66750,01,055,Etowah County,Alabama,1
AL,0105799999,NCNTY01057N01057,57100,"Fayette County, AL",Fayette County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,057,Fayette County,Alabama,0
AL,0105999999,NCNTY01059N01059,56900,"Franklin County, AL",Franklin County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,059,Franklin County,Alabama,0
AL,0106199999,METRO20020M20020,69300,"Dothan, AL HUD Metro FMR Area",Geneva County,24300,27750,31200,34650,37450,40200,43000,45750,14600,18310,23030,27750,32470,37190,41910,45750,38850,44400,49950,55450,59900,64350,68800,73200,01,061,Geneva County,Alabama,1
AL,0106399999,METRO46220M01063,41700,"Greene County, AL HUD Metro FMR Area",Greene County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,063,Greene County,Alabama,1
AL,0106599999,METRO46220M46220,77600,"Tuscaloosa, AL HUD Metro FMR Area",Hale County,27200,31050,34950,38800,41950,45050,48150,51250,16350,18650,23030,27750,32470,37190,41910,46630,43500,49700,55900,62100,67100,72050,77050,82000,01,065,Hale County,Alabama,1
AL,0106799999,METRO20020N01067,67500,"Henry County, AL HUD Metro FMR Area",Henry County,23650,27000,30400,33750,36450,39150,41850,44550,14200,18310,23030,27750,32470,37190,41850,44550,37800,43200,48600,54000,58350,62650,67000,71300,01,067,Henry County,Alabama,1
AL,0106999999,METRO20020M20020,69300,"Dothan, AL HUD Metro FMR Area",Houston County,24300,27750,31200,34650,37450,40200,43000,45750,14600,18310,23030,27750,32470,37190,41910,45750,38850,44400,49950,55450,59900,64350,68800,73200,01,069,Houston County,Alabama,1
AL,0107199999,NCNTY01071N01071,58700,"Jackson County, AL",Jackson County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,071,Jackson County,Alabama,0
AL,0107399999,METRO13820M13820,84800,"Birmingham-Hoover, AL HUD Metro FMR Area",Jefferson County,29700,33950,38200,42400,45800,49200,52600,56000,17850,20400,23030,27750,32470,37190,41910,46630,47500,54300,61100,67850,73300,78750,84150,89600,01,073,Jefferson County,Alabama,1
AL,0107599999,NCNTY01075N01075,58600,"Lamar County, AL",Lamar County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,075,Lamar County,Alabama,0
AL,0107799999,METRO22520M22520,68200,"Florence-Muscle Shoals, AL MSA",Lauderdale County,23900,27300,30700,34100,36850,39600,42300,45050,14350,18310,23030,27750,32470,37190,41910,45050,38200,43650,49100,54550,58950,63300,67650,72050,01,077,Lauderdale County,Alabama,1
AL,0107999999,METRO19460M19460,70600,"Decatur, AL MSA",Lawrence County,24750,28250,31800,35300,38150,40950,43800,46600,14850,18310,23030,27750,32470,37190,41910,46600,39550,45200,50850,56500,61050,65550,70100,74600,01,079,Lawrence County,Alabama,1
AL,0108199999,METRO12220M12220,90000,"Auburn-Opelika, AL MSA",Lee County,30550,34900,39250,43600,47100,50600,54100,57600,18350,20950,23550,27750,32470,37190,41910,46630,48850,55800,62800,69750,75350,80950,86500,92100,01,081,Lee County,Alabama,1
AL,0108399999,METRO26620M26620,92700,"Huntsville, AL MSA",Limestone County,32450,37100,41750,46350,50100,53800,57500,61200,19500,22250,25050,27800,32470,37190,41910,46630,51950,59350,66750,74150,80100,86050,91950,97900,01,083,Limestone County,Alabama,1
AL,0108599999,METRO33860M33860,75500,"Montgomery, AL MSA",Lowndes County,26450,30200,34000,37750,40800,43800,46850,49850,15900,18310,23030,27750,32470,37190,41910,46630,42300,48350,54400,60400,65250,70100,74900,79750,01,085,Lowndes County,Alabama,1
AL,0108799999,NCNTY01087N01087,54200,"Macon County, AL",Macon County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,087,Macon County,Alabama,0
AL,0108999999,METRO26620M26620,92700,"Huntsville, AL MSA",Madison County,32450,37100,41750,46350,50100,53800,57500,61200,19500,22250,25050,27800,32470,37190,41910,46630,51950,59350,66750,74150,80100,86050,91950,97900,01,089,Madison County,Alabama,1
AL,0109199999,NCNTY01091N01091,65600,"Marengo County, AL",Marengo County,21700,24800,27900,30950,33450,35950,38400,40900,13590,18310,23030,27750,32470,35950,38400,40900,34650,39600,44550,49500,53500,57450,61400,65350,01,091,Marengo County,Alabama,0
AL,0109399999,NCNTY01093N01093,53700,"Marion County, AL",Marion County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,093,Marion County,Alabama,0
AL,0109599999,NCNTY01095N01095,65500,"Marshall County, AL",Marshall County,22200,25400,28550,31700,34250,36800,39350,41850,13590,18310,23030,27750,32470,36800,39350,41850,35500,40600,45650,50700,54800,58850,62900,66950,01,095,Marshall County,Alabama,0
AL,0109799999,METRO33660M33660,68000,"Mobile, AL HUD Metro FMR Area",Mobile County,22900,26150,29400,32650,35300,37900,40500,43100,13750,18310,23030,27750,32470,37190,40500,43100,36600,41800,47050,52250,56450,60650,64800,69000,01,097,Mobile County,Alabama,1
AL,0109999999,NCNTY01099N01099,54900,"Monroe County, AL",Monroe County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,099,Monroe County,Alabama,0
AL,0110199999,METRO33860M33860,75500,"Montgomery, AL MSA",Montgomery County,26450,30200,34000,37750,40800,43800,46850,49850,15900,18310,23030,27750,32470,37190,41910,46630,42300,48350,54400,60400,65250,70100,74900,79750,01,101,Montgomery County,Alabama,1
AL,0110399999,METRO19460M19460,70600,"Decatur, AL MSA",Morgan County,24750,28250,31800,35300,38150,40950,43800,46600,14850,18310,23030,27750,32470,37190,41910,46600,39550,45200,50850,56500,61050,65550,70100,74600,01,103,Morgan County,Alabama,1
AL,0110599999,NCNTY01105N01105,37600,"Perry County, AL",Perry County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,105,Perry County,Alabama,0
AL,0110799999,METRO46220N01107,60100,"Pickens County, AL HUD Metro FMR Area",Pickens County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,107,Pickens County,Alabama,1
AL,0110999999,NCNTY01109N01109,63400,"Pike County, AL",Pike County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,109,Pike County,Alabama,0
AL,0111199999,NCNTY01111N01111,60600,"Randolph County, AL",Randolph County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,111,Randolph County,Alabama,0
AL,0111399999,METRO17980M17980,68200,"Columbus, GA-AL HUD Metro FMR Area",Russell County,23900,27300,30700,34100,36850,39600,42300,45050,14350,18310,23030,27750,32470,37190,41910,45050,38200,43650,49100,54550,58950,63300,67650,72050,01,113,Russell County,Alabama,1
AL,0111599999,METRO13820M13820,84800,"Birmingham-Hoover, AL HUD Metro FMR Area",St. Clair County,29700,33950,38200,42400,45800,49200,52600,56000,17850,20400,23030,27750,32470,37190,41910,46630,47500,54300,61100,67850,73300,78750,84150,89600,01,115,St. Clair County,Alabama,1
AL,0111799999,METRO13820M13820,84800,"Birmingham-Hoover, AL HUD Metro FMR Area",Shelby County,29700,33950,38200,42400,45800,49200,52600,56000,17850,20400,23030,27750,32470,37190,41910,46630,47500,54300,61100,67850,73300,78750,84150,89600,01,117,Shelby County,Alabama,1
AL,0111999999,NCNTY01119N01119,48800,"Sumter County, AL",Sumter County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,119,Sumter County,Alabama,0
AL,0112199999,NCNTY01121N01121,72600,"Talladega County, AL",Talladega County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,121,Talladega County,Alabama,0
AL,0112399999,NCNTY01123N01123,62700,"Tallapoosa County, AL",Tallapoosa County,22150,25300,28450,31600,34150,36700,39200,41750,13590,18310,23030,27750,32470,36700,39200,41750,35400,40450,45500,50550,54600,58650,62700,66750,01,123,Tallapoosa County,Alabama,0
AL,0112599999,METRO46220M46220,77600,"Tuscaloosa, AL HUD Metro FMR Area",Tuscaloosa County,27200,31050,34950,38800,41950,45050,48150,51250,16350,18650,23030,27750,32470,37190,41910,46630,43500,49700,55900,62100,67100,72050,77050,82000,01,125,Tuscaloosa County,Alabama,1
AL,0112799999,NCNTY01127N01127,63900,"Walker County, AL",Walker County,22400,25600,28800,31950,34550,37100,39650,42200,13590,18310,23030,27750,32470,37100,39650,42200,35800,40900,46000,51100,55200,59300,63400,67500,01,127,Walker County,Alabama,0
AL,0112999999,METRO33660M01129,58800,"Washington County, AL HUD Metro FMR Area",Washington County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,129,Washington County,Alabama,1
AL,0113199999,NCNTY01131N01131,47200,"Wilcox County, AL",Wilcox County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,131,Wilcox County,Alabama,0
AL,0113399999,NCNTY01133N01133,53200,"Winston County, AL",Winston County,21600,24650,27750,30800,33300,35750,38200,40700,13590,18310,23030,27750,32470,35750,38200,40700,34550,39450,44400,49300,53250,57200,61150,65100,01,133,Winston County,Alabama,0
AK,0201399999,NCNTY02013N02013,86400,"Aleutians East Borough, AK",Aleutians East Borough,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050,02,013,Aleutians East Borough,Alaska,0
AK,0201699999,NCNTY02016N02016,106200,"Aleutians West Census Area, AK",Aleutians West Census Area,37200,42500,47800,53100,57350,61600,65850,70100,22300,25500,28790,34690,40590,46490,52390,58290,59500,68000,76500,84950,91750,98550,105350,112150,02,016,Aleutians West Census Area,Alaska,0
AK,0202099999,METRO11260M11260,116300,"Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,40750,46550,52350,58150,62850,67500,72150,76800,24450,27950,31450,34900,40590,46490,52390,58290,62600,71550,80500,89400,96600,103750,110900,118050,02,020,Anchorage Municipality,Alaska,1
AK,0205099999,NCNTY02050N02050,60000,"Bethel Census Area, AK",Bethel Census Area,34650,39600,44550,49500,53500,57450,61400,65350,20800,23800,28790,34690,40590,46490,52390,58290,55450,63400,71300,79200,85550,91900,98250,104550,02,050,Bethel Census Area,Alaska,0
AK,0206099999,NCNTY02060N02060,109200,"Bristol Bay Borough, AK",Bristol Bay Borough,38250,43700,49150,54600,59000,63350,67750,72100,22950,26200,29500,34690,40590,46490,52390,58290,61150,69900,78650,87350,94350,101350,108350,115350,02,060,Bristol Bay Borough,Alaska,0
AK,0206899999,NCNTY02068N02068,117600,"Denali Borough, AK",Denali Borough,41200,47050,52950,58800,63550,68250,72950,77650,24750,28250,31800,35300,40590,46490,52390,58290,62600,71550,80500,89400,96600,103750,110900,118050,02,068,Denali Borough,Alaska,0
AK,0207099999,NCNTY02070N02070,62000,"Dillingham Census Area, AK",Dillingham Census Area,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050,02,070,Dillingham Census Area,Alaska,0
AK,0209099999,METRO21820M21820,97800,"Fairbanks, AK MSA",Fairbanks North Star Borough,34250,39150,44050,48900,52850,56750,60650,64550,20550,23500,28790,34690,40590,46490,52390,58290,54800,62600,70450,78250,84550,90800,97050,103300,02,090,Fairbanks North Star Borough,Alaska,1
AK,0210099999,NCNTY02100N02100,88000,"Haines Borough, AK",Haines Borough,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050,02,100,Haines Borough,Alaska,0
AK,0210599999,NCNTY02105N02105,75000,"Hoonah-Angoon Census Area, AK",Hoonah-Angoon Census Area,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050,02,105,Hoonah-Angoon Census Area,Alaska,0
AK,0211099999,NCNTY02110N02110,120900,"Juneau City and Borough, AK",Juneau City and Borough,42350,48400,54450,60450,65300,70150,75000,79800,25400,29000,32650,36250,40590,46490,52390,58290,62600,71550,80500,89400,96600,103750,110900,118050,02,110,Juneau City and Borough,Alaska,0
AK,0212299999,NCNTY02122N02122,98400,"Kenai Peninsula Borough, AK",Kenai Peninsula Borough,34450,39400,44300,49200,53150,57100,61050,64950,20650,23600,28790,34690,40590,46490,52390,58290,55100,63000,70850,78700,85000,91300,97600,103900,02,122,Kenai Peninsula Borough,Alaska,0
AK,0213099999,NCNTY02130N02130,100800,"Ketchikan Gateway Borough, AK",Ketchikan Gateway Borough,34950,39950,44950,49900,53900,57900,61900,65900,21000,24000,28790,34690,40590,46490,52390,58290,55900,63850,71850,79800,86200,92600,99000,105350,02,130,Ketchikan Gateway Borough,Alaska,0
AK,0215099999,NCNTY02150N02150,108400,"Kodiak Island Borough, AK",Kodiak Island Borough,37950,43400,48800,54200,58550,62900,67250,71550,22750,26000,29250,34690,40590,46490,52390,58290,60700,69400,78050,86700,93650,100600,107550,114450,02,150,Kodiak Island Borough,Alaska,0
AK,0215899999,NCNTY02158N02158,40400,Kusilvak Census Area,Kusilvak Census Area,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050,02,158,Kusilvak Census Area,Alaska,0
AK,0216499999,NCNTY02164N02164,53200,"Lake and Peninsula Borough, AK",Lake and Peninsula Borough,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050,02,164,Lake and Peninsula Borough,Alaska,0
AK,0217099999,METRO11260N02170,94800,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",Matanuska-Susitna Borough,33200,37950,42700,47400,51200,55000,58800,62600,19950,22890,28790,34690,40590,46490,52390,58290,53100,60700,68300,75850,81950,88000,94100,100150,02,170,Matanuska-Susitna Borough,Alaska,1
AK,0218099999,NCNTY02180N02180,66200,"Nome Census Area, AK",Nome Census Area,32300,36900,41500,46100,49800,53500,57200,60900,19400,22890,28790,34690,40590,46490,52390,58290,51650,59000,66400,73750,79650,85550,91450,97350,02,180,Nome Census Area,Alaska,0
AK,0218599999,NCNTY02185N02185,92700,"North Slope Borough, AK",North Slope Borough,32900,37600,42300,46950,50750,54500,58250,62000,19750,22890,28790,34690,40590,46490,52390,58290,52600,60100,67600,75100,81150,87150,93150,99150,02,185,North Slope Borough,Alaska,0
AK,0218899999,NCNTY02188N02188,65200,"Northwest Arctic Borough, AK",Northwest Arctic Borough,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050,02,188,Northwest Arctic Borough,Alaska,0
AK,0219599999,NCNTY02195N02195,92400,Petersburg Borough,Petersburg Borough,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050,02,195,Petersburg Borough,Alaska,0
AK,0219899999,NCNTY02198N02198,71900,"Prince of Wales-Hyder Census Area, AK",Prince of Wales-Hyder Census Area,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050,02,198,Prince of Wales-Hyder Census Area,Alaska,0
AK,0222099999,NCNTY02220N02220,102200,"Sitka City and Borough, AK",Sitka City and Borough,35800,40900,46000,51100,55200,59300,63400,67500,21500,24550,28790,34690,40590,46490,52390,58290,57250,65400,73600,81750,88300,94850,101400,107950,02,220,Sitka City and Borough,Alaska,0
AK,0223099999,NCNTY02230N02230,92500,"Skagway Municipality, AK",Skagway Municipality,32400,37000,41650,46250,49950,53650,57350,61050,19450,22890,28790,34690,40590,46490,52390,58290,51800,59200,66600,74000,79950,85850,91800,97700,02,230,Skagway Municipality,Alaska,0
AK,0224099999,NCNTY02240N02240,94500,"Southeast Fairbanks Census Area, AK",Southeast Fairbanks Census Area,33100,37800,42550,47250,51050,54850,58600,62400,19850,22890,28790,34690,40590,46490,52390,58290,52950,60500,68050,75600,81650,87700,93750,99800,02,240,Southeast Fairbanks Census Area,Alaska,0
AK,0226199999,NCNTY02261N02261,110200,"Valdez-Cordova Census Area, AK",Valdez-Cordova Census Area,38600,44100,49600,55100,59550,63950,68350,72750,23150,26450,29750,34690,40590,46490,52390,58290,61750,70550,79350,88150,95250,102300,109350,116400,02,261,Valdez-Cordova Census Area,Alaska,0
AK,0227599999,NCNTY02275N02275,77400,"Wrangell City and Borough, AK",Wrangell City and Borough,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050,02,275,Wrangell City and Borough,Alaska,0
AK,0228299999,NCNTY02282N02282,89000,"Yakutat City and Borough, AK",Yakutat City and Borough,32300,36900,41500,46100,49800,53500,57200,60900,19400,22890,28790,34690,40590,46490,52390,58290,51650,59000,66400,73750,79650,85550,91450,97350,02,282,Yakutat City and Borough,Alaska,0
AK,0229099999,NCNTY02290N02290,57300,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk Census Area,32200,36800,41400,45950,49650,53350,57000,60700,19300,22890,28790,34690,40590,46490,52390,58290,51450,58800,66150,73500,79400,85300,91150,97050,02,290,Yukon-Koyukuk Census Area,Alaska,0
AZ,0400199999,NCNTY04001N04001,45800,"Apache County, AZ",Apache County,19400,22200,24950,27700,29950,32150,34350,36600,13590,18310,23030,27700,29950,32150,34350,36600,31050,35450,39900,44300,47850,51400,54950,58500,04,001,Apache County,Arizona,0
AZ,0400399999,METRO43420M43420,64500,"Sierra Vista-Douglas, AZ MSA",Cochise County,22600,25800,29050,32250,34850,37450,40000,42600,13590,18310,23030,27750,32470,37190,40000,42600,36150,41300,46450,51600,55750,59900,64000,68150,04,003,Cochise County,Arizona,1
AZ,0400599999,METRO22380M22380,85200,"Flagstaff, AZ MSA",Coconino County,30100,34400,38700,42950,46400,49850,53300,56700,18050,20600,23200,27750,32470,37190,41910,46630,48100,55000,61850,68700,74200,79700,85200,90700,04,005,Coconino County,Arizona,1
AZ,0400799999,NCNTY04007N04007,57200,"Gila County, AZ",Gila County,21100,24100,27100,30100,32550,34950,37350,39750,13590,18310,23030,27750,32470,34950,37350,39750,33750,38550,43350,48150,52050,55900,59750,63600,04,007,Gila County,Arizona,0
AZ,0400999999,NCNTY04009N04009,66100,"Graham County, AZ",Graham County,23150,26450,29750,33050,35700,38350,41000,43650,13900,18310,23030,27750,32470,37190,41000,43650,37050,42350,47650,52900,57150,61400,65600,69850,04,009,Graham County,Arizona,0
