State_Alpha,fips2010,State,County,cbsasub,Metro_Area_Name,County_Name,median2018,l50_1,l50_2,l50_3,l50_4,l50_5,l50_6,l50_7,l50_8,ELI_1,ELI_2,ELI_3,ELI_4,ELI_5,ELI_6,ELI_7,ELI_8,l80_1,l80_2,l80_3,l80_4,l80_5,l80_6,l80_7,l80_8,MSA,county_town_name,state_name,metro
AL,0102199999,1,21,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",Chilton County,54600,19150,21850,24600,27300,29500,31700,33900,36050,12140,16460,20780,25100,29420,31700,33900,36050,30600,35000,39350,43700,47200,50700,54200,57700,9999,Chilton County,Alabama,1
AL,0102399999,1,23,NCNTY01023N01023,"Choctaw County, AL",Choctaw County,49700,17400,19900,22400,24850,26850,28850,30850,32850,12140,16460,20780,24850,26850,28850,30850,32850,27850,31800,35800,39750,42950,46150,49300,52500,9999,Choctaw County,Alabama,0
AL,0102599999,1,25,NCNTY01025N01025,"Clarke County, AL",Clarke County,49700,17400,19900,22400,24850,26850,28850,30850,32850,12140,16460,20780,24850,26850,28850,30850,32850,27850,31800,35800,39750,42950,46150,49300,52500,9999,Clarke County,Alabama,0
AL,0102799999,1,27,NCNTY01027N01027,"Clay County, AL",Clay County,45500,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Clay County,Alabama,0
AL,0102999999,1,29,NCNTY01029N01029,"Cleburne County, AL",Cleburne County,51400,18000,20600,23150,25700,27800,29850,31900,33950,12140,16460,20780,25100,27800,29850,31900,33950,28800,32900,37000,41100,44400,47700,51000,54300,9999,Cleburne County,Alabama,0
AL,0103199999,1,31,NCNTY01031N01031,"Coffee County, AL",Coffee County,65400,22900,26200,29450,32700,35350,37950,40550,43200,13750,16460,20780,25100,29420,33740,38060,42380,36650,41850,47100,52300,56500,60700,64900,69050,9999,Coffee County,Alabama,0
AL,0103399999,1,33,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Colbert County,57500,20150,23000,25900,28750,31050,33350,35650,37950,12140,16460,20780,25100,29420,33350,35650,37950,32200,36800,41400,46000,49700,53400,57050,60750,2650,Colbert County,Alabama,1
AL,0103599999,1,35,NCNTY01035N01035,"Conecuh County, AL",Conecuh County,34500,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Conecuh County,Alabama,0
AL,0103799999,1,37,NCNTY01037N01037,"Coosa County, AL",Coosa County,44800,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Coosa County,Alabama,0
AL,0103999999,1,39,NCNTY01039N01039,"Covington County, AL",Covington County,48200,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Covington County,Alabama,0
AL,0104199999,1,41,NCNTY01041N01041,"Crenshaw County, AL",Crenshaw County,52900,18550,21200,23850,26450,28600,30700,32800,34950,12140,16460,20780,25100,28600,30700,32800,34950,29650,33850,38100,42300,45700,49100,52500,55850,9999,Crenshaw County,Alabama,0
AL,0104399999,1,43,NCNTY01043N01043,"Cullman County, AL",Cullman County,45100,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Cullman County,Alabama,0
AL,0104599999,1,45,NCNTY01045N01045,"Dale County, AL",Dale County,59500,20850,23800,26800,29750,32150,34550,36900,39300,12500,16460,20780,25100,29420,33740,36900,39300,33350,38100,42850,47600,51450,55250,59050,62850,2180,Dale County,Alabama,0
AL,0104799999,1,47,NCNTY01047N01047,"Dallas County, AL",Dallas County,38700,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Dallas County,Alabama,0
AL,0104999999,1,49,NCNTY01049N01049,"DeKalb County, AL",DeKalb County,45900,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,DeKalb County,Alabama,0
AL,0105199999,1,51,METRO33860M33860,"Montgomery, AL MSA",Elmore County,62900,22050,25200,28350,31450,34000,36500,39000,41550,13200,16460,20780,25100,29420,33740,38060,41550,35250,40250,45300,50300,54350,58350,62400,66400,5240,Elmore County,Alabama,1
AL,0105399999,1,53,NCNTY01053N01053,"Escambia County, AL",Escambia County,42800,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Escambia County,Alabama,0
AL,0105599999,1,55,METRO23460M23460,"Gadsden, AL MSA",Etowah County,54100,18950,21650,24350,27050,29250,31400,33550,35750,12140,16460,20780,25100,29250,31400,33550,35750,30350,34650,39000,43300,46800,50250,53700,57200,2880,Etowah County,Alabama,1
AL,0105799999,1,57,NCNTY01057N01057,"Fayette County, AL",Fayette County,45800,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Fayette County,Alabama,0
AL,0105999999,1,59,NCNTY01059N01059,"Franklin County, AL",Franklin County,47300,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Franklin County,Alabama,0
AL,0106199999,1,61,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",Geneva County,52200,18300,20900,23500,26100,28200,30300,32400,34500,12140,16460,20780,25100,28200,30300,32400,34500,29250,33400,37600,41750,45100,48450,51800,55150,9999,Geneva County,Alabama,1
AL,0106399999,1,63,NCNTY01063N01063,"Greene County, AL",Greene County,28500,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Greene County,Alabama,0
AL,0106599999,1,65,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",Hale County,61500,21550,24600,27700,30750,33250,35700,38150,40600,12950,16460,20780,25100,29420,33740,38060,40600,34450,39400,44300,49200,53150,57100,61050,64950,9999,Hale County,Alabama,1
AL,0106799999,1,67,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",Henry County,58300,20450,23350,26250,29150,31500,33850,36150,38500,12250,16460,20780,25100,29420,33740,36150,38500,32700,37350,42000,46650,50400,54150,57850,61600,9999,Henry County,Alabama,1
AL,0106999999,1,69,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",Houston County,52200,18300,20900,23500,26100,28200,30300,32400,34500,12140,16460,20780,25100,28200,30300,32400,34500,29250,33400,37600,41750,45100,48450,51800,55150,2180,Houston County,Alabama,1
AL,0107199999,1,71,NCNTY01071N01071,"Jackson County, AL",Jackson County,47900,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Jackson County,Alabama,0
AL,0107399999,1,73,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Jefferson County,71000,24650,28150,31650,35150,38000,40800,43600,46400,14800,16900,20780,25100,29420,33740,38060,42380,39400,45000,50650,56250,60750,65250,69750,74250,1000,Jefferson County,Alabama,1
AL,0107599999,1,75,NCNTY01075N01075,"Lamar County, AL",Lamar County,42900,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Lamar County,Alabama,0
AL,0107799999,1,77,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Lauderdale County,57500,20150,23000,25900,28750,31050,33350,35650,37950,12140,16460,20780,25100,29420,33350,35650,37950,32200,36800,41400,46000,49700,53400,57050,60750,2650,Lauderdale County,Alabama,1
AL,0107999999,1,79,METRO19460M19460,"Decatur, AL MSA",Lawrence County,58700,20550,23500,26450,29350,31700,34050,36400,38750,12350,16460,20780,25100,29420,33740,36400,38750,32900,37600,42300,46950,50750,54500,58250,62000,2030,Lawrence County,Alabama,1
AL,0108199999,1,81,METRO12220M12220,"Auburn-Opelika, AL MSA",Lee County,66900,23100,26400,29700,32950,35600,38250,40900,43500,13850,16460,20780,25100,29420,33740,38060,42380,36900,42200,47450,52700,56950,61150,65350,69600,580,Lee County,Alabama,1
AL,0108399999,1,83,METRO26620M26620,"Huntsville, AL MSA",Limestone County,78700,27550,31500,35450,39350,42500,45650,48800,51950,16550,18900,21250,25100,29420,33740,38060,42380,44100,50400,56700,62950,68000,73050,78100,83100,3440,Limestone County,Alabama,1
AL,0108599999,1,85,METRO33860M33860,"Montgomery, AL MSA",Lowndes County,62900,22050,25200,28350,31450,34000,36500,39000,41550,13200,16460,20780,25100,29420,33740,38060,41550,35250,40250,45300,50300,54350,58350,62400,66400,9999,Lowndes County,Alabama,1
AL,0108799999,1,87,NCNTY01087N01087,"Macon County, AL",Macon County,42800,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Macon County,Alabama,0
AL,0108999999,1,89,METRO26620M26620,"Huntsville, AL MSA",Madison County,78700,27550,31500,35450,39350,42500,45650,48800,51950,16550,18900,21250,25100,29420,33740,38060,42380,44100,50400,56700,62950,68000,73050,78100,83100,3440,Madison County,Alabama,1
AL,0109199999,1,91,NCNTY01091N01091,"Marengo County, AL",Marengo County,48000,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Marengo County,Alabama,0
AL,0109399999,1,93,NCNTY01093N01093,"Marion County, AL",Marion County,43900,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Marion County,Alabama,0
AL,0109599999,1,95,NCNTY01095N01095,"Marshall County, AL",Marshall County,52700,18450,21100,23750,26350,28500,30600,32700,34800,12140,16460,20780,25100,28500,30600,32700,34800,29550,33750,37950,42150,45550,48900,52300,55650,9999,Marshall County,Alabama,0
AL,0109799999,1,97,METRO33660M33660,"Mobile, AL MSA",Mobile County,59800,20950,23950,26950,29900,32300,34700,37100,39500,12600,16460,20780,25100,29420,33740,37100,39500,33500,38300,43100,47850,51700,55550,59350,63200,5160,Mobile County,Alabama,1
AL,0109999999,1,99,NCNTY01099N01099,"Monroe County, AL",Monroe County,42000,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Monroe County,Alabama,0
AL,0110199999,1,101,METRO33860M33860,"Montgomery, AL MSA",Montgomery County,62900,22050,25200,28350,31450,34000,36500,39000,41550,13200,16460,20780,25100,29420,33740,38060,41550,35250,40250,45300,50300,54350,58350,62400,66400,5240,Montgomery County,Alabama,1
AL,0110399999,1,103,METRO19460M19460,"Decatur, AL MSA",Morgan County,58700,20550,23500,26450,29350,31700,34050,36400,38750,12350,16460,20780,25100,29420,33740,36400,38750,32900,37600,42300,46950,50750,54500,58250,62000,2030,Morgan County,Alabama,1
AL,0110599999,1,105,NCNTY01105N01105,"Perry County, AL",Perry County,32000,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Perry County,Alabama,0
AL,0110799999,1,107,METRO46220N01107,"Pickens County, AL HUD Metro FMR Area",Pickens County,44100,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Pickens County,Alabama,1
AL,0110999999,1,109,NCNTY01109N01109,"Pike County, AL",Pike County,49200,17250,19700,22150,24600,26600,28550,30550,32500,12140,16460,20780,24600,26600,28550,30550,32500,27550,31500,35450,39350,42500,45650,48800,51950,9999,Pike County,Alabama,0
AL,0111199999,1,111,NCNTY01111N01111,"Randolph County, AL",Randolph County,49100,17200,19650,22100,24550,26550,28500,30450,32450,12140,16460,20780,24550,26550,28500,30450,32450,27550,31450,35400,39300,42450,45600,48750,51900,9999,Randolph County,Alabama,0
AL,0111399999,1,113,METRO17980M17980,"Columbus, GA-AL MSA",Russell County,56000,19600,22400,25200,28000,30250,32500,34750,37000,12140,16460,20780,25100,29420,32500,34750,37000,31400,35850,40350,44800,48400,52000,55600,59150,1800,Russell County,Alabama,1
AL,0111599999,1,115,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",St. Clair County,71000,24650,28150,31650,35150,38000,40800,43600,46400,14800,16900,20780,25100,29420,33740,38060,42380,39400,45000,50650,56250,60750,65250,69750,74250,1000,St. Clair County,Alabama,1
AL,0111799999,1,117,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Shelby County,71000,24650,28150,31650,35150,38000,40800,43600,46400,14800,16900,20780,25100,29420,33740,38060,42380,39400,45000,50650,56250,60750,65250,69750,74250,1000,Shelby County,Alabama,1
AL,0111999999,1,119,NCNTY01119N01119,"Sumter County, AL",Sumter County,37500,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Sumter County,Alabama,0
AL,0112199999,1,121,NCNTY01121N01121,"Talladega County, AL",Talladega County,48400,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Talladega County,Alabama,0
AL,0112399999,1,123,NCNTY01123N01123,"Tallapoosa County, AL",Tallapoosa County,52100,18250,20850,23450,26050,28150,30250,32350,34400,12140,16460,20780,25100,28150,30250,32350,34400,29200,33400,37550,41700,45050,48400,51750,55050,9999,Tallapoosa County,Alabama,0
AL,0112599999,1,125,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",Tuscaloosa County,61500,21550,24600,27700,30750,33250,35700,38150,40600,12950,16460,20780,25100,29420,33740,38060,40600,34450,39400,44300,49200,53150,57100,61050,64950,8600,Tuscaloosa County,Alabama,1
AL,0112799999,1,127,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",Walker County,51700,18100,20700,23300,25850,27950,30000,32100,34150,12140,16460,20780,25100,27950,30000,32100,34150,28950,33100,37250,41350,44700,48000,51300,54600,9999,Walker County,Alabama,1
AL,0112999999,1,129,NCNTY01129N01129,"Washington County, AL",Washington County,50600,17900,20450,23000,25550,27600,29650,31700,33750,12140,16460,20780,25100,27600,29650,31700,33750,28650,32750,36850,40900,44200,47450,50750,54000,9999,Washington County,Alabama,0
AL,0113199999,1,131,NCNTY01131N01131,"Wilcox County, AL",Wilcox County,34500,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Wilcox County,Alabama,0
AL,0113399999,1,133,NCNTY01133N01133,"Winston County, AL",Winston County,43700,17000,19400,21850,24250,26200,28150,30100,32050,12140,16460,20780,24250,26200,28150,30100,32050,27200,31050,34950,38800,41950,45050,48150,51250,9999,Winston County,Alabama,0
AK,0201399999,2,13,NCNTY02013N02013,"Aleutians East Borough, AK",Aleutians East Borough,67400,28450,32500,36550,40600,43850,47100,50350,53600,17050,20580,25980,31380,36780,42180,47580,52980,45500,52000,58500,64950,70150,75350,80550,85750,9999,Aleutians East Borough,Alaska,0
AK,0201699999,2,16,NCNTY02016N02016,"Aleutians West Census Area, AK",Aleutians West Census Area,94300,33250,38000,42750,47450,51250,55050,58850,62650,19950,22800,25980,31380,36780,42180,47580,52980,53150,60750,68350,75900,82000,88050,94150,100200,9999,Aleutians West Census Area,Alaska,0
AK,0202099999,2,20,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,99500,34750,39700,44650,49600,53600,57550,61550,65500,20850,23800,26800,31380,36780,42180,47580,52980,50350,57550,64750,71900,77700,83450,89200,94950,380,Anchorage Municipality,Alaska,1
AK,0205099999,2,50,NCNTY02050N02050,"Bethel Census Area, AK",Bethel Census Area,52600,30250,34550,38850,43150,46650,50100,53550,57000,18150,20750,25980,31380,36780,42180,47580,52980,48350,55250,62150,69050,74600,80100,85650,91150,9999,Bethel Census Area,Alaska,0
AK,0206099999,2,60,NCNTY02060N02060,"Bristol Bay Borough, AK",Bristol Bay Borough,94900,33250,38000,42750,47450,51250,55050,58850,62650,19950,22800,25980,31380,36780,42180,47580,52980,50350,57550,64750,71900,77700,83450,89200,94950,9999,Bristol Bay Borough,Alaska,0
AK,0206899999,2,68,NCNTY02068N02068,"Denali Borough, AK",Denali Borough,102900,36050,41200,46350,51450,55600,59700,63800,67950,21600,24700,27800,31380,36780,42180,47580,52980,50350,57550,64750,71900,77700,83450,89200,94950,9999,Denali Borough,Alaska,0
AK,0207099999,2,70,NCNTY02070N02070,"Dillingham Census Area, AK",Dillingham Census Area,60500,28450,32500,36550,40600,43850,47100,50350,53600,17050,20580,25980,31380,36780,42180,47580,52980,45500,52000,58500,64950,70150,75350,80550,85750,9999,Dillingham Census Area,Alaska,0
AK,0209099999,2,90,METRO21820M21820,"Fairbanks, AK MSA",Fairbanks North Star Borough,93000,32550,37200,41850,46500,50250,53950,57700,61400,19550,22350,25980,31380,36780,42180,47580,52980,50350,57550,64750,71900,77700,83450,89200,94950,9999,Fairbanks North Star Borough,Alaska,1
AK,0210099999,2,100,NCNTY02100N02100,"Haines Borough, AK",Haines Borough,73200,28450,32500,36550,40600,43850,47100,50350,53600,17050,20580,25980,31380,36780,42180,47580,52980,45500,52000,58500,64950,70150,75350,80550,85750,9999,Haines Borough,Alaska,0
AK,0210599999,2,105,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",Hoonah-Angoon Census Area,70700,28450,32500,36550,40600,43850,47100,50350,53600,17050,20580,25980,31380,36780,42180,47580,52980,45500,52000,58500,64950,70150,75350,80550,85750,9999,Hoonah-Angoon Census Area,Alaska,0
AK,0211099999,2,110,NCNTY02110N02110,"Juneau City and Borough, AK",Juneau City and Borough,104900,36750,42000,47250,52450,56650,60850,65050,69250,22050,25200,28350,31450,36780,42180,47580,52980,50350,57550,64750,71900,77700,83450,89200,94950,9999,Juneau City and Borough,Alaska,0
AK,0212299999,2,122,NCNTY02122N02122,"Kenai Peninsula Borough, AK",Kenai Peninsula Borough,82900,29050,33200,37350,41450,44800,48100,51400,54750,17400,20580,25980,31380,36780,42180,47580,52980,46450,53050,59700,66300,71650,76950,82250,87550,9999,Kenai Peninsula Borough,Alaska,0
AK,0213099999,2,130,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",Ketchikan Gateway Borough,87400,30600,35000,39350,43700,47200,50700,54200,57700,18350,21000,25980,31380,36780,42180,47580,52980,48950,55950,62950,69900,75500,81100,86700,92300,9999,Ketchikan Gateway Borough,Alaska,0
AK,0215099999,2,150,NCNTY02150N02150,"Kodiak Island Borough, AK",Kodiak Island Borough,84400,29550,33800,38000,42200,45600,49000,52350,55750,17750,20580,25980,31380,36780,42180,47580,52980,47250,54000,60750,67500,72900,78300,83700,89100,9999,Kodiak Island Borough,Alaska,0
AK,0215899999,2,158,NCNTY02158N02158,Kusilvak Census Area,Kusilvak Census Area,41500,28450,32500,36550,40600,43850,47100,50350,53600,17050,20580,25980,31380,36780,42180,47580,52980,45500,52000,58500,64950,70150,75350,80550,85750,9999,Kusilvak Census Area,Alaska,0
AK,0216499999,2,164,NCNTY02164N02164,"Lake and Peninsula Borough, AK",Lake and Peninsula Borough,57700,28450,32500,36550,40600,43850,47100,50350,53600,17050,20580,25980,31380,36780,42180,47580,52980,45500,52000,58500,64950,70150,75350,80550,85750,9999,Lake and Peninsula Borough,Alaska,0
AK,0217099999,2,170,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",Matanuska-Susitna Borough,92000,32200,36800,41400,46000,49700,53400,57050,60750,19350,22100,25980,31380,36780,42180,47580,52980,50350,57550,64750,71900,77700,83450,89200,94950,9999,Matanuska-Susitna Borough,Alaska,1
AK,0218099999,2,180,NCNTY02180N02180,"Nome Census Area, AK",Nome Census Area,50900,31050,35500,39950,44350,47900,51450,55000,58550,18650,21300,25980,31380,36780,42180,47580,52980,49700,56800,63900,70950,76650,82350,88000,93700,9999,Nome Census Area,Alaska,0
AK,0218599999,2,185,NCNTY02185N02185,"North Slope Borough, AK",North Slope Borough,83200,29150,33300,37450,41600,44950,48300,51600,54950,17500,20580,25980,31380,36780,42180,47580,52980,46600,53250,59900,66550,71900,77200,82550,87850,9999,North Slope Borough,Alaska,0
AK,0218899999,2,188,NCNTY02188N02188,"Northwest Arctic Borough, AK",Northwest Arctic Borough,64000,28450,32500,36550,40600,43850,47100,50350,53600,17050,20580,25980,31380,36780,42180,47580,52980,45500,52000,58500,64950,70150,75350,80550,85750,9999,Northwest Arctic Borough,Alaska,0
AK,0219599999,2,195,NCNTY02195N02195,"Petersburg Census Area, AK",Petersburg Census Area,88300,30950,35350,39750,44150,47700,51250,54750,58300,18550,21200,25980,31380,36780,42180,47580,52980,49500,56550,63600,70650,76350,82000,87650,93300,9999,Petersburg Census Area,Alaska,0
AK,0219899999,2,198,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",Prince of Wales-Hyder Census Area,65500,28450,32500,36550,40600,43850,47100,50350,53600,17050,20580,25980,31380,36780,42180,47580,52980,45500,52000,58500,64950,70150,75350,80550,85750,9999,Prince of Wales-Hyder Census Area,Alaska,0
AK,0222099999,2,220,NCNTY02220N02220,"Sitka City and Borough, AK",Sitka City and Borough,91700,32100,36700,41300,45850,49550,53200,56900,60550,19250,22000,25980,31380,36780,42180,47580,52980,50350,57550,64750,71900,77700,83450,89200,94950,9999,Sitka City and Borough,Alaska,0
AK,0223099999,2,230,NCNTY02230N02230,"Skagway Municipality, AK",Skagway Municipality,85000,29750,34000,38250,42500,45900,49300,52700,56100,17850,20580,25980,31380,36780,42180,47580,52980,47600,54400,61200,68000,73450,78900,84350,89800,9999,Skagway Municipality,Alaska,0
AK,0224099999,2,240,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",Southeast Fairbanks Census Area,77600,28450,32500,36550,40600,43850,47100,50350,53600,17050,20580,25980,31380,36780,42180,47580,52980,45500,52000,58500,64950,70150,75350,80550,85750,9999,Southeast Fairbanks Census Area,Alaska,0
AK,0226199999,2,261,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",Valdez-Cordova Census Area,95000,33250,38000,42750,47500,51300,55100,58900,62700,19950,22800,25980,31380,36780,42180,47580,52980,50350,57550,64750,71900,77700,83450,89200,94950,9999,Valdez-Cordova Census Area,Alaska,0
AK,0227599999,2,275,NCNTY02275N02275,"Wrangell City and Borough, AK",Wrangell City and Borough,70600,28450,32500,36550,40600,43850,47100,50350,53600,17050,20580,25980,31380,36780,42180,47580,52980,45500,52000,58500,64950,70150,75350,80550,85750,9999,Wrangell City and Borough,Alaska,0
AK,0228299999,2,282,NCNTY02282N02282,"Yakutat City and Borough, AK",Yakutat City and Borough,84800,29700,33950,38200,42400,45800,49200,52600,56000,17850,20580,25980,31380,36780,42180,47580,52980,47500,54300,61100,67850,73300,78750,84150,89600,9999,Yakutat City and Borough,Alaska,0
AK,0229099999,2,290,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk Census Area,50600,28450,32500,36550,40600,43850,47100,50350,53600,17050,20580,25980,31380,36780,42180,47580,52980,45500,52000,58500,64950,70150,75350,80550,85750,9999,Yukon-Koyukuk Census Area,Alaska,0
AZ,0400199999,4,1,NCNTY04001N04001,"Apache County, AZ",Apache County,35200,15750,18000,20250,22500,24300,26100,27900,29700,12140,16460,20250,22500,24300,26100,27900,29700,25200,28800,32400,36000,38900,41800,44650,47550,9999,Apache County,Arizona,0
AZ,0400399999,4,3,METRO43420M43420,"Sierra Vista-Douglas, AZ MSA",Cochise County,58400,20450,23400,26300,29200,31550,33900,36250,38550,12250,16460,20780,25100,29420,33740,36250,38550,32700,37400,42050,46700,50450,54200,57950,61650,9999,Cochise County,Arizona,1
AZ,0400599999,4,5,METRO22380M22380,"Flagstaff, AZ MSA",Coconino County,75100,24500,28000,31500,35000,37800,40600,43400,46200,14700,16800,20780,25100,29420,33740,38060,42380,39200,44800,50400,56000,60500,65000,69450,73950,2620,Coconino County,Arizona,1
